scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1918 - 31/07/1918;1;7;1918;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Burgos. Ilocos Norte Province. Luzon;0;120.6436311;18.5110086;0;0;P01960454;P01960454;Ramos;Ilocos Norte;Ramos, M.
0;Phaeanthus;villosus;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1918 - 31/05/1918;1;4;1918;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Mt. Macosolon. Capiz Province. Panay;0;124.332;13.953;0;0;P00372673;P00372673;Ramos;Capiz;Ramos, M.
0;Desmos;chinensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/10/1919 - 30/11/1919;1;10;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Malangas, Zamboanga District Mindanao;0;123.03388888888888;7.626388888888889;0;0;P01753513;P01753513;Ramos;Zamboanga Sibugay;Ramos, M.
0;Goniothalamus;elmeri;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Siargao Island;0;126.051;9.905;0;0;P01988168;P01988168;Ramos;Surigao del Norte;Ramos, M.
0;Meiogyne;mindorensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;Kessler, P.;01/05/2009 - 31/05/2009;1;5;2009;0;Philippines;0;Philippines. Siargao island;0;126.05119282649673;9.9051382;0;0;P02007491;P02007491;Ramos;Surigao del Norte;Ramos, M.
0;Oxymitra;oligophlebia;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Bucas Grande Island;0;125.959;9.66;0;0;P00411036;P00411036;Ramos;Surigao del Norte;Ramos, M.
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;<NA>;01/01/2004 - 31/12/2004;1;1;2004;0;Philippines;0;Philippines. Siargao Island;0;126.05;9.905;0;0;P00160919;P00160919;Ramos;Surigao del Norte;Ramos, M.
0;Sageraea;glabra;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Siargao Island;0;126.05;9.905;0;0;P00247910;P00247910;Ramos;Surigao del Norte;Ramos, M.
0;Artabotrys;cumingianus;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1921 - 30/04/1921;1;4;1921;<NA>;<NA>;;;;0;Philippines;0;Philippines. Paluan. Mindoro;0;120.4623373;13.4155816;0;0;P02029204;P02029204;Ramos;Occidental Mindoro;Ramos, M.
0;Goniothalamus;puncticulifolius;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1921 - 30/04/1921;1;4;1921;<NA>;<NA>;;;;0;Philippines;0;Philippines. Paluan, Mindoro;0;120.4623373;13.4155816;0;0;P00389819;P00389819;Ramos;Occidental Mindoro;Ramos, M.
