scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;PH;Mt. Makiling, Laguna Province, Luzon.;14.135833;121.19;Ordon Jr;Ordon Jr. PNH 33510 ;23;1;1955;;<NA>;<NA>;Botany;L.1767407;0;0;0;Ordon;;0;;;;0;0;0;L1767407;33510;rumphii;Ordon Jr.;<NA>;OR;recby_problem
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Puerto Princesa, Irawan, Tatanarum.;9.739167;118.735278;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  35 ;20;1;1991;;<NA>;<NA>;Botany;U.1072774;0;0;0;Philippine;;0;;;;0;0;0;U1072774;35;grandifolium;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;PH;Pagudpud.;18.580564;120.85248;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  9982 ;27;8;1992;;2003-01-01T00:00:00;<NA>;Botany;U.1073743;0;0;0;Philippine;;0;1;1;2003;0;0;0;U1073743;9982;;Philippine Plant Inventory (PPI);Kessler PJA; (PPI);recby_problem
Annonaceae;<NA>;PH;VISCA, Baybay.Found along the trail on VISCA forest reserve.;11.4461;124.4095;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  10512 ;23;3;1993;;<NA>;<NA>;Botany;U.1101197;0;0;0;Philippine;;0;;;;0;0;0;U1101197;10512;;Philippine Plant Inventory (PPI);<NA>; (PPI);recby_problem
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;So. Cotabato. Korodanal. Miasong, Tupi.;6.316666;124.95;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  5448 ;18;4;1992;;<NA>;<NA>;Botany;U.1072771;0;0;0;Philippine;;0;;;;0;0;0;U1072771;5448;grandifolium;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;PH;Alasasin.;14.5331;120.4667;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  3993 ;25;1;1992;;<NA>;<NA>;Botany;U  0133831;0;0;0;Philippine;;0;;;;0;0;0;U0133831;3993;acuminatissima;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Annonaceae;<NA>;PH;VISCA, Baybay.Found along the trail on VISCA forest reserve.;11.4461;124.4095;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  10512 ;23;3;1993;;<NA>;<NA>;Botany;U.1101198;0;0;0;Philippine;;0;;;;0;0;0;U1101198;10512;;Philippine Plant Inventory (PPI);<NA>; (PPI);recby_problem
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Puerto Princesa, Irawan, Tatanarum.;9.739167;118.735278;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  35 ;20;1;1991;;<NA>;<NA>;Botany;U.1072773;0;0;0;Philippine;;0;;;;0;0;0;U1072773;35;grandifolium;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;PH;Alasasin.;14.5331;120.4667;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  3993 ;25;1;1992;;<NA>;<NA>;Botany;U.1101194;0;0;0;Philippine;;0;;;;0;0;0;U1101194;3993;acuminatissima;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;So. Cotabato. Korodanal. Miasong, Tupi.;6.316666;124.95;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  5448 ;18;4;1992;;<NA>;<NA>;Botany;U.1072769;0;0;0;Philippine;;0;;;;0;0;0;U1072769;5448;grandifolium;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Puerto Princesa, Irawan, Tatanarum.;9.739167;118.735278;Philippine Plant Inventory (PPI);Philippine Plant Inventory (PPI)  35 ;20;1;1991;;<NA>;<NA>;Botany;U.1072772;0;0;0;Philippine;;0;;;;0;0;0;U1072772;35;grandifolium;Philippine Plant Inventory (PPI);Pipoly JJ; (PPI);recby_problem
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;PH;valley of stream leading into NNW bay of lake.;10.75;119.533333;Podzorski, AC;Podzorski, AC SMHI 709 ;5;4;1984;Leonardía, AAP;1999-07-01T00:00:00;<NA>;Botany;L.1766265;0;0;0;Podzorski;;0;1;7;1999;0;0;0;L1766265;709;creaghii;Podzorski AC;Leonardía, AAP;detby_problem;Leonardía, AAP
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;PH;Valley of stream leading into NNW bay of Lake.;10.75;119.533333;Podzorski, AC;Podzorski, AC SMHI 756 ;6;4;1984;Leonardía, AAP;1999-07-01T00:00:00;<NA>;Botany;L.1766267;0;0;0;Podzorski;;0;1;7;1999;0;0;0;L1766267;756;creaghii;Podzorski AC;Leonardía, AAP;detby_problem;Leonardía, AAP
