scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Uvaria rubra C.B.Rob.;Uvaria;PH;Todaya (Mt. Apo), Island of Mindanao;6.474422;123.221811;Elmer, ADE;10957;;6;1909;nan;<NA>;VT;<NA>;UVMVT102287;0;0;0;;;0;;;;0;0;0;UVMVT102287;10957;grandiflora;Elmer, A.D.E.;<NA>;Elmer;Uvaria;grandiflora
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;PH;Philippines, Todaya ( Mt. Apo), District of Davao. Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10957 ;1;6;1909;nan;<NA>;<NA>;Botany;L.1770663;0;0;0;Elmer;;0;;;;0;0;0;L1770663;10957;grandiflora;Elmer ADE;<NA>;Elmer;Uvaria;grandiflora
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Todayo (Mt. Apo), District of Davao, Island of Mindanao;6.233611;125.628333;Elmer, ADE;10982;;6;1909;nan;<NA>;VT;<NA>;UVMVT102244;0;0;0;;;0;;;;0;0;0;UVMVT102244;10982;philippinensis;Elmer, A.D.E.;<NA>;Elmer;Goniothalamus;philippinensis
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Philippines, Todaya ( Mt. Apo), District of Davao. Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10982 ;1;6;1909;nan;<NA>;<NA>;Botany;L.2067254;0;0;0;Elmer;;0;;;;0;0;0;L2067254;10982;philippinensis;Elmer ADE;<NA>;Elmer;Goniothalamus;philippinensis
Drepananthus apoensis Elmer;Drepananthus;PH;Todaya (Mt. Apo);6.989444;125.269722;Elmer, ADE;11290;;8;1909;nan;<NA>;VT;<NA>;UVMVT102237;0;0;0;;;0;;;;0;0;0;UVMVT102237;11290;apoensis;Elmer, A.D.E.;<NA>;Elmer;Drepananthus;apoensis
Cyathocalyx apoensis (Elmer) J.Sinclair;Drepananthus;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  11290 ;1;8;1909;nan;<NA>;<NA>;Botany;L  0181320;0;0;0;Elmer;;0;;;;0;0;0;L0181320;11290;apoensis;Elmer ADE;<NA>;Elmer;Drepananthus;apoensis
Melodorum Lour.;Melodorum;PH;Todaya (Mount Apo), District of Davao.;6.645081333333333;123.905374;Elmer, ADE;11318;;8;1909;nan;<NA>;NSW;NSW;NSW562436;0;0;0;;;0;;;;0;0;0;NSW562436;11318;virgata;Elmer, A.D.E.;<NA>;Elmer;Melodorum;
Melodorum Lour.;Melodorum;PH;Todaya (Mt. Apo);6.645081333333333;123.905374;Elmer, ADE;11318;;8;1909;nan;<NA>;VT;<NA>;UVMVT102261;0;0;0;;;0;;;;0;0;0;UVMVT102261;11318;virgata;Elmer, A.D.E.;<NA>;Elmer;Melodorum;
Meiogyne virgata (Blume) Miq.;Melodorum;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  11318 ;1;8;1909;Heusden, ECH van;<NA>;<NA>;Botany;L.1765896;0;0;0;Elmer;;0;;;;0;0;0;L1765896;11318;virgata;Elmer ADE;Heusden ECH van;Elmer;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Melodorum;PH;Todaya (Mt. Apo);6.645081333333333;123.905374;Elmer, ADE;11318;;8;1909;Salleh, KM ;<NA>;NHMUK;BOT;BM000546396;0;0;0;;;0;;;;0;0;0;BM000546396;11318;virgata;Adolph Daniel Edward Elmer;K.M. Salleh;Elmer;Meiogyne;virgata
