huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Bon, Henri Francois;0;Uvaria;sp.;0;0;Bon;;<NA>;nan;<NA>;01/06/1890 - 30/06/1890;1;6;1890;nan;<NA>;;;;0;Viet Nam;0;Thanh Hoa. Tonkin;0;105.7745698;19.811719;0;0;P01964141;P01964141;Bon;Thanh Hóa;0;Bon;<NA>;Hong Kong, Vietnam;0
Borden, Thomas E.;0;Cyathocalyx;globosus;0;0;Borden, TE;;<NA>;nan;<NA>;01/04/1904 - 30/04/1904;1;4;1904;nan, nan;<NA>;;;;0;Philippines;0;Philippines. Lamao River. Prov. of Bataan, Luzon.;0;120.578;14.502;0, 0;0, 0;P00751131, P00751134;P00751131, P00751134;Borden;;;;;;
Brand, D;0;Polyalthia;sp.;0;0;Brand, D;;<NA>;nan;<NA>;15/05/1960 - 15/05/1960;15;5;1960;nan;<NA>;;;;0;Malaisie;0;North Borneo. District Tawau. Mile 11, Apas. road.;0;118.02;4.263;0;0;P01982950;P01982950;Brand;Sabah;0;Brand, D.;<NA>;<NA>;<NA>
Callery, Joseph Maxime Marie;0;Desmos;chinensis;0;0;Callery;;<NA>;nan;<NA>;01/01/1844 - 31/12/1844;1;1;1844;nan;<NA>;;;;0;Chine;0;Chine, Macao;0;113.551;22.176;0;0;P02007364;P02007364;Callery;Macau(澳門);0;Callery;<NA>;China, Indonesia, Vietnam;0
Cavalerie;0;Uvaria;sp.;0;0;Cavalerie;;<NA>;nan;<NA>;01/01/1914 - 31/12/1914;1;1;1914;nan;<NA>;;;;0;Chine;0;Chine. Gan-chouen;0;106.619;26.646;0;0;P01964150;P01964150;Cavalerie;Guizhou(贵州);0;Cavalerie;<NA>;<NA>;<NA>
Cavalerie;0;Miliusa;sinensis;0;0;Cavalerie;;<NA>;nan;<NA>;01/01/1915 - 31/12/1915;1;1;1915;nan;<NA>;;;;0;Chine;0;Chine : Kouy-tcheou, etc. Houang ts'ao-pa;0;104.91;25.0879;0;0;P00160895;P00160895;Cavalerie;Guizhou(贵州);0;Cavalerie;<NA>;<NA>;<NA>
Cavalerie;0;Fissistigma;sp.;0;0;Cavalerie;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;26/10/1989 - 26/10/1989;26;10;1989;0;Chine;0;Chine : Kouy-tcheou. Pin-fa ?;0;105.6826;25.7707;0;0;P02032256;P02032256;Cavalerie;Guizhou(贵州);0;Cavalerie;Kessler, P.;<NA>;<NA>
Cavalerie;0;Miliusa;sinensis;0;0;Cavalerie;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Chine;0;Chine : Kout-Tchéou;0;;;0;0;P00160896;P00160896;Cavalerie;Guizhou(贵州);0;Cavalerie;<NA>;<NA>;<NA>
Cenabre, A. L.;0;Mitrephora;lanotan;0;0;Cenabre, AL;;<NA>;nan;<NA>;01/02/1923 - 28/02/1923;1;2;1923;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Philippines. Puerto Princesa. Palawan;0;118.735;9.7376;0;0;P00379281;P00379281;Cenabre;Palawan;0;Cenabre, A.L.;Kessler, P.;Philippines;0
Cenabre, A. L.;0;Xylopia;dehiscens;0;0;Cenabre, AL;;<NA>;nan;<NA>;01/02/1923 - 28/02/1923;1;2;1923;nan;<NA>;;;;0;Philippines;0;Philippines. Puerto Princesa. Palawan;0;118.732;9.738;0;0;P01987358;P01987358;Cenabre;Palawan;0;Cenabre, A.L.;<NA>;Philippines;0
